"id","area","size","alg8"
"0502960","BENTON SCHOOL DISTRICT",375,0.093
"0503030","PEA RIDGE SCHOOL DISTRICT",171,0.163
"0503090","BERGMAN SCHOOL DISTRICT",87,0
"0503150","BERRYVILLE SCHOOL DISTRICT",157,0
"0503240","BISMARCK SCHOOL DISTRICT",83,0.348
"0503300","BLEVINS SCHOOL DISTRICT",45,0
"0503420","LEAD HILL SCHOOL DISTRICT",21,0
"0503450","BOONEVILLE SCHOOL DISTRICT",90,0.107
"0503480","BRADFORD SCHOOL DISTRICT",32,0
"0503630","BRINKLEY SCHOOL DISTRICT",35,0
"0503640","BROOKLAND SCHOOL DISTRICT",165,0.345
"0503690","BRYANT SCHOOL DISTRICT",716,0.304
"0503710","BUFFALO IS. CENTRAL SCH. DIST.",57,0.405
"0503750","CABOT SCHOOL DISTRICT",834,0.258
"0503770","CADDO HILLS SCHOOL DISTRICT",34,0.117
"0503840","CALICO ROCK SCHOOL DISTRICT",36,0.363
"0503960","CARLISLE SCHOOL DISTRICT",52,0
"0504020","WESTSIDE CONS. SCHOOL DISTRICT",133,0.758
"0504050","CAVE CITY SCHOOL DISTRICT",112,0
"0504080","CEDARVILLE SCHOOL DISTRICT",69,0
"0504110","GENOA CENTRAL SCHOOL DISTRICT",83,0
"0504170","WHITE CO. CENTRAL SCHOOL DIST.",58,0.069
"0504200","CHARLESTON SCHOOL DISTRICT",71,0
"0504350","CLARENDON SCHOOL DISTRICT",33,0
"0504370","RECTOR SCHOOL DISTRICT",53,0.283
"0504380","CLARKSVILLE SCHOOL DISTRICT",203,0.27
"0504410","CLINTON SCHOOL DISTRICT",105,0.068
"0504560","CONCORD SCHOOL DISTRICT",40,0
"0504590","CONWAY SCHOOL DISTRICT",751,0.187
"0504680","COTTER SCHOOL DISTRICT",43,0
"0504740","COUNTY LINE SCHOOL DISTRICT",38,0
"0504800","CROSSETT SCHOOL DISTRICT",129,0
"0504860","CUTTER-MORNING STAR SCH. DIST.",52,0.433
"0504890","DANVILLE SCHOOL DISTRICT",68,0
"0504930","DARDANELLE SCHOOL DISTRICT",187,0.107
"0504980","DECATUR SCHOOL DISTRICT",39,0.055
"0505170","DERMOTT SCHOOL DISTRICT",21,0.331
"0505190","DES ARC SCHOOL DISTRICT",34,0
"0505340","DIERKS SCHOOL DISTRICT",37,0.402
"0505430","DOVER SCHOOL DISTRICT",102,0.262
"0505470","DREW CENTRAL SCHOOL DISTRICT",74,0.189
"0505500","DUMAS SCHOOL DISTRICT",116,0.322
"0505550","EARLE SCHOOL DISTRICT",52,0.476
"0505580","EAST END SCHOOL DISTRICT",45,0
"0505680","EL DORADO SCHOOL DISTRICT",331,0.14
"0505760","ELKINS SCHOOL DISTRICT",93,0.473
"0505850","ENGLAND SCHOOL DISTRICT",58,0
"0505970","EUREKA SPRINGS SCHOOL DISTRICT",51,0
"0506060","CAMDEN FAIRVIEW SCHOOL DIST.",181,0.381
"0506090","FARMINGTON SCHOOL DISTRICT",193,0.218
"0506150","FLIPPIN SCHOOL DISTRICT",58,0
"0506210","FORDYCE SCHOOL DISTRICT",60,0.599
"0506240","FOREMAN SCHOOL DISTRICT",42,0.214
"0506270","FORREST CITY SCHOOL DISTRICT",192,0.3
"0506330","FORT SMITH SCHOOL DISTRICT",1104,0.266
"0506360","FOUKE SCHOOL DISTRICT",89,0
"0506540","GENTRY SCHOOL DISTRICT",120,0
"0506630","GLEN ROSE SCHOOL DISTRICT",78,0.281
"0506690","CENTERPOINT SCHOOL DISTRICT",78,0.256
"0506840","GRAVETTE SCHOOL DISTRICT",159,0.183
"0506870","GREEN FOREST SCHOOL DISTRICT",87,0
"0506900","GREENBRIER SCHOOL DISTRICT",275,0.483
"0506930","GREENLAND SCHOOL DISTRICT",75,0.263
"0506990","GREENWOOD SCHOOL DISTRICT",290,0.368
"0507110","GURDON SCHOOL DISTRICT",45,0.469
"0507140","GUY-PERKINS SCHOOL DISTRICT",30,0.39
"0507170","HACKETT SCHOOL DISTRICT",42,0
"0507230","HAMPTON SCHOOL DISTRICT",42,0.243
"0507290","HARMONY GROVE SCHOOL DISTRICT",93,0.044
"0507350","HARRISBURG SCHOOL DISTRICT",96,0
"0507380","HARRISON SCHOOL DISTRICT",204,0.257
"0507530","HAZEN SCHOOL DISTRICT",59,0
"0507560","HEBER SPRINGS SCHOOL DISTRICT",139,0.171
"0507620","HECTOR SCHOOL DISTRICT",34,0
"0507710","HERMITAGE SCHOOL DISTRICT",34,0
"0507740","CROSS COUNTY SCHOOL DISTRICT",54,0
"0507770","HIGHLAND SCHOOL DISTRICT",126,0.198
"0507840","HOPE SCHOOL DISTRICT",161,0
"0507860","HORATIO SCHOOL DISTRICT",52,0
"0507890","HOT SPRINGS SCHOOL DISTRICT",252,0.139
"0507920","JESSIEVILLE SCHOOL DISTRICT",62,0.286
"0507990","HOXIE SCHOOL DISTRICT",70,0.371
"0508040","WEST MEMPHIS SCHOOL DISTRICT",429,0.143
"0508130","HUNTSVILLE SCHOOL DISTRICT",178,0.195
"0508240","JASPER SCHOOL DISTRICT",65,0.24
"0508280","JONESBORO SCHOOL DISTRICT",444,0.248
"0508340","JUNCTION CITY SCHOOL DISTRICT",47,0.149
"0508400","RIVERVIEW SCHOOL DISTRICT",107,0.203
"0508490","KIRBY SCHOOL DISTRICT",22,0
"0508610","LAKE HAMILTON SCHOOL DISTRICT",342,0.16
"0508640","LAKESIDE SCHOOL DISTRICT (CHICOT COUNTY)",69,0.362
"0508670","LAKESIDE SCHOOL DISTRICT",291,0.423
"0508700","LAMAR SCHOOL DISTRICT",110,0
"0508730","LAVACA SCHOOL DISTRICT",58,0
"0508940","LINCOLN SCHOOL DISTRICT",91,0.441
"0509060","LONOKE SCHOOL DISTRICT",132,0.13
"0509150","MAGAZINE SCHOOL DISTRICT",32,0
"0509190","MAGNET COVE SCHOOL DIST.",56,0.354
"0509270","MAMMOTH SPRING SCHOOL DISTRICT",37,0.991
"0509330","MANSFIELD SCHOOL DISTRICT",66,0
"0509360","LEE COUNTY SCHOOL DISTRICT",55,0
"0509390","MARION SCHOOL DISTRICT",310,0.225
"0509420","MARKED TREE SCHOOL DISTRICT",37,0
"0509480","SEARCY COUNTY SCHOOL DISTRICT",81,0.146
"0509510","MARVELL SCHOOL DISTRICT",26,0
"0509540","MAYFLOWER SCHOOL DISTRICT",78,0.208
"0509570","MAYNARD SCHOOL DISTRICT",33,0
"0509600","MCCRORY SCHOOL DISTRICT",68,0
"0509630","MCGEHEE SCHOOL DISTRICT",80,0.198
"0509720","MELBOURNE SCHOOL DISTRICT",60,0
"0509750","MENA SCHOOL DISTRICT",120,0.201
"0509780","MINERAL SPRINGS SCHOOL DIST.",27,0
"0509840","MONTICELLO SCHOOL DISTRICT",165,0.261
"0509990","MOUNT IDA SCHOOL DISTRICT",36,0
"0510080","MT. VERNON/ENOLA SCHOOL DIST.",51,0.23
"0510170","MOUNTAIN PINE SCHOOL DISTRICT",37,0.192
"0510200","MOUNTAIN VIEW SCHOOL DISTRICT",133,0.097
"0510260","MOUNTAINBURG SCHOOL DISTRICT",53,0.224
"0510290","MULBERRY SCHOOL DISTRICT",23,0
"0510320","SOUTH PIKE COUNTY SCHOOL DISTRICT",50,0.564
"0510380","NASHVILLE SCHOOL DISTRICT",140,0.212
"0510410","NEMO VISTA SCHOOL DISTRICT",37,0.331
"0510440","NETTLETON SCHOOL DISTRICT",231,0
"0510560","NORFORK SCHOOL DISTRICT",27,0.872
"0510680","N. LITTLE ROCK SCHOOL DISTRICT",580,0.3
"0510920","OMAHA SCHOOL DISTRICT",33,0.828
"0510980","OUACHITA SCHOOL DISTRICT",41,0
"0511010","OZARK SCHOOL DISTRICT",147,0.209
"0511070","PANGBURN SCHOOL DISTRICT",76,0
"0511130","PARIS SCHOOL DISTRICT",83,0
"0511220","PARKERS CHAPEL SCHOOL DIST.",70,0.341
"0511340","PERRYVILLE SCHOOL DISTRICT",79,0.346
"0511370","PIGGOTT SCHOOL DISTRICT",68,0
"0511610","POCAHONTAS SCHOOL DISTRICT",167,0
"0511700","POTTSVILLE SCHOOL DISTRICT",131,0.285
"0511730","POYEN SCHOOL DISTRICT",42,0
"0511760","PRAIRIE GROVE SCHOOL DISTRICT",142,0.439
"0511820","PRESCOTT SCHOOL DISTRICT",73,0
"0511880","QUITMAN SCHOOL DISTRICT",69,0.773
"0512000","ROSE BUD SCHOOL DISTRICT",68,0
"0512060","RUSSELLVILLE SCHOOL DISTRICT",380,0.234
"0512090","SALEM SCHOOL DISTRICT",46,0
"0512180","SCRANTON SCHOOL DISTRICT",39,0
"0512210","SEARCY SCHOOL DISTRICT",316,0.156
"0512420","SHIRLEY SCHOOL DISTRICT",33,0
"0512450","SILOAM SPRINGS SCHOOL DISTRICT",335,0.113
"0512520","SO. CONWAY CO. SCHOOL DISTRICT",161,0.235
"0512540","SOUTHSIDE SCHOOL DISTRICT",145,0.014
