lat,lon,title,school
33.502478,-112.138571,"Alhambra Elementary District, AZ",0
40.67385,-74.21368099999999,"Elizabeth City School District, NJ",0
44.82957,-92.956861,"South Washington County School District, MN",0
44.5151,-88.023061,"Green Bay Area School District, WI",0
32.327718,-95.315583,"Tyler Independent School District, TX",0
39.45358,-77.965521,"Berkeley County School District, WV",0
38.802979,-90.69139300000001,"Fort Zumwalt R-II School District, MO",0
32.1374,-110.937821,"Sunnyside Unified District, AZ",0
35.676167,-79.819362,"Randolph County Schools, NC",0
42.1211,-88.0352,"Palatine Community Consolidated School District, IL",0
30.0083,-97.8629,"Hays Consolidated Independent School District, TX",0
30.717668,-90.53718600000001,"Tangipahoa Parish School District, LA",0
33.20348,-87.566401,"Tuscaloosa County School District, AL",0
34.7342,-86.5778,"Huntsville City School District, AL",0
37.7683,-77.47490000000001,"Hanover County Public Schools, VA",0
33.179791,-86.60184099999999,"Shelby County School District, AL",0
38.30873,-122.296941,"Napa Valley Unified School District, CA",0
47.096826,-122.425454,"Bethel School District, WA",0
47.61058,-122.178731,"Bellevue School District, WA",0
34.953254,-80.995411,"York School District, SC",0
26.195758,-97.680089,"Harlingen Consolidated Independent School District, TX",0
41.6861,-88.3404,"Oswego Community Unit School District, IL",0
40.6026,-75.46639999999999,"Allentown City School District, PA",0
38.83325,-90.315701,"Hazelwood School District, MO",0
47.965867,-122.201048,"Everett School District, WA",0
61.611606,-149.103123,"Matanuska-Susitna Borough School District, AK",0
34.279034,-118.782496,"Simi Valley Unified School District, CA",0
38.666818,-90.501406,"Parkway C-2 School District, MO",0
34.1244,-81.21769999999999,"Lexington School District, SC",0
42.609932,-82.927381,"Chippewa Valley Schools, MI",0
38.98108,-94.37802000000001,"Lee's Summit R-VII School District, MO",0
27.644808,-80.402818,"Indian River County School District, FL",0
39.128774,-94.715261,"Kansas City Unified School District, KS",0
43.0444,-76.1408,"Syracuse City School District, NY",0
35.6869,-81.217311,"Catawba County Schools, NC",0
39.387162,-84.431352,"Lakota Local School District, OH",0
40.10147,-82.91711100000001,"Westerville City School District, OH",0
