id,name,G08,lat,lon,HI08,AM08,AS08,HP08,BL08,WH08,TR08,leaidC_SEDA,WH_tot,WB_dissim,WH_dissim,WB_exp,WH_exp,G08_alg_p,G08_access_p,HI08_alg_p,BL08_alg_p,WH08_alg_p,WB_diff,WH_diff,WB_n,WH_n,WB_access,WH_access
170993000679,Darwin Elem School,49,41.923544,-87.70513800000001,43,0,0,0,5,1,0,1709930,1,0,0,.020408163,.020408163,.36734694,1,.37209302,.40000001,0,-.40000001,-.37209302,1,1,0,0
170993000682,Dulles Elem School,41,41.779607,-87.616944,0,0,0,0,41,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000687,Davis N Elem School,53,41.822224,-87.700281,52,0,0,0,0,1,0,1709930,1,,0,,.018867925,0,0,0,,0,,0,0,1,0,0
170993000689,Dawes Elem School,105,41.745279,-87.71726099999999,76,2,0,1,25,1,0,1709930,1,0,0,.0095238099,.0095238099,.31428573,1,.32894737,.31999999,0,-.31999999,-.32894737,1,1,0,0
170993000691,Deneen Elem School,56,41.762293,-87.62346700000001,3,0,0,0,52,0,1,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000695,Dett Elem School,37,41.87971,-87.680581,1,0,0,0,36,0,0,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000697,Chopin Elem School,52,41.896954,-87.688622,40,0,0,0,10,1,1,1709930,1,0,0,.01923077,.01923077,.42307693,1,.40000001,.5,1,.5,.60000002,1,1,0,0
170993000698,Dever Elem School,89,41.942544,-87.81352099999999,40,1,2,0,3,43,0,1709930,43,0,0,.48314607,.48314607,.32584271,1,.25,0,.37209302,.37209302,.12209302,3,40,0,0
170993000706,Dewey Elem Academy of Fine Arts,25,41.795845,-87.64233299999999,1,0,0,0,23,0,1,1709930,0,,,,,0,0,0,0,,,,0,0,0,0
170993000709,Disney Elem Magnet School,132,41.95696,-87.64619500000001,48,0,15,1,48,15,5,1709930,15,0,0,.11363637,.11363637,.23484848,1,.14583333,.20833333,.26666668,.058333352,.12083335,15,15,0,0
170993000710,Dixon Elem School,90,41.743427,-87.610469,0,0,0,0,89,0,1,1709930,0,,,,,0,0,,0,,,,0,0,0,0
170993000712,Garvey  M Elem School,26,41.706663,-87.647077,0,0,0,0,26,0,0,1709930,0,,,,,.38461539,1,,.38461539,,,,0,0,0,0
170993000713,Dodge Elem School,18,41.88901,-87.70472100000001,0,0,0,0,18,0,0,1709930,0,,,,,0,0,,0,,,,0,0,0,0
