id,name,G08,HI08,BL08,WH08,HI08_alg_p,HI08_access_p,BL08_alg_p,BL08_access_p,WH08_alg_p,WH08_access_p
3408820,"Livingston Township School District, NJ",484,22,16,332,.31818181,1,.25,1,.46385542,1
3408850,"Lodi Borough School District, NJ",234,128,30,53,.125,1,.13333334,1,.3018868,1
3408880,"Logan Township School District, NJ",86,12,6,62,.33333334,1,.33333334,1,.3548387,1
3408940,"Long Branch City School District, NJ",353,160,81,106,.1375,1,.12345679,1,.12264151,1
3409000,"Lopatcong Township School District, NJ",100,12,6,78,.33333334,1,.66666669,1,.47435898,1
3409030,"Lower Alloways Creek Township School District, NJ",18,0,1,17,,,0,0,0,0
3409150,"Lower Township School District, NJ",264,21,17,220,.095238097,1,.11764706,1,.23636363,1
3409180,"Lumberton Township School District, NJ",165,16,35,102,0,0,0,0,0,0
3409210,"Lyndhurst Township School District, NJ",191,63,7,114,.38095239,1,.71428573,1,.44736841,1
3409240,"Madison Borough School District, NJ",185,20,5,143,.2,1,0,1,.65734267,1
3409270,"Old Bridge Township School District, NJ",695,92,78,399,.043478262,1,.1025641,1,.080200501,1
3409330,"Mahwah Township School District, NJ",262,23,3,202,.086956523,1,0,1,.21287128,1
3409390,"Manalapan-Englishtown Regional School District, NJ",635,45,13,510,.15555556,1,.30769232,1,.29607844,1
3409420,"Manasquan Borough School District, NJ",73,7,0,63,.2857143,1,,,.49206349,1
3409630,"Manville Borough School District, NJ",113,51,8,52,.25490198,1,0,1,.36538461,1
3409660,"Maple Shade Township School District, NJ",134,28,17,83,.071428575,1,.29411766,1,.48192772,1
3409690,"Margate City School District, NJ",57,7,0,50,0,1,,,.31999999,1
3409720,"Marlboro Township School District, NJ",691,33,11,478,0,1,0,1,0,1
3409780,"Maurice River Township School District, NJ",40,3,2,34,0,1,0,1,.55882353,1
3409810,"Maywood Borough School District, NJ",94,30,15,41,.13333334,1,.13333334,1,.24390244,1
3409840,"Medford Lakes Borough School District, NJ",57,2,0,54,0,1,,,.12962963,1
3409870,"Medford Township School District, NJ",323,7,9,289,0,1,.22222222,1,.34602076,1
3409900,"Mendham Borough School District, NJ",86,2,0,81,1,1,,,.75308645,1
3409930,"Mendham Township School District, NJ",102,6,0,84,.33333334,1,,,.61904764,1
3409990,"Metuchen Borough School District, NJ",182,12,9,119,.33333334,1,.22222222,1,.48739496,1
3410020,"Middle Township School District, NJ",177,18,26,127,.11111111,1,.15384616,1,.1496063,1
3410050,"Middlesex Borough School District, NJ",151,48,9,82,.041666668,1,.44444445,1,.2682927,1
3410110,"Middletown Township School District, NJ",784,47,13,702,.25531915,1,.61538464,1,.33760685,1
3410140,"Midland Park Borough School District, NJ",75,13,0,57,0,0,,,0,0
3410170,"Milford Borough School District, NJ",13,2,0,11,1,1,,,.36363637,1
3410290,"Milltown Borough School District, NJ",70,4,2,59,1,1,0,1,.88135594,1
3410320,"Millville City School District, NJ",345,67,125,145,.10447761,1,.056000002,1,.15172414,1
3410380,"Monmouth Beach Borough School District, NJ",30,0,0,30,,,,,.53333336,1
3410470,"Monroe Township School District, NJ",487,37,86,340,.10810811,1,.08139535,1,.26764706,1
3410500,"Monroe Township School District, NJ",497,20,21,311,.1,1,.095238097,1,.24437299,1
